Date,Open,High,Low,Close,Adj Close,Volume
2010-10-15,73264.812500,73564.265625,71368.312500,72166.843750,71030.164063,1049574
2010-10-18,72067.023438,72166.843750,70370.156250,70669.601563,69556.515625,1071754
2010-10-19,70869.234375,71168.679688,70370.156250,70469.968750,69360.023438,484897
2010-10-20,70370.156250,71268.500000,69671.445313,71268.500000,70145.976563,612436
2010-10-21,72266.656250,72665.921875,71468.132813,72166.843750,71030.164063,818731
2010-10-22,71967.210938,72366.476563,70469.968750,70969.054688,69851.242188,1171310
2010-10-25,71168.679688,71368.312500,70569.789063,70669.601563,69556.515625,740346
2010-10-26,71168.679688,72566.101563,70769.421875,72566.101563,71423.140625,1097728
2010-10-27,72665.921875,72965.367188,71068.867188,71068.867188,69949.484375,913741
2010-10-28,71767.578125,72366.476563,71168.679688,71567.945313,70440.703125,570309
2010-10-29,72067.023438,72166.843750,70270.343750,71468.132813,70342.468750,668281
2010-11-01,70569.789063,71068.867188,70070.710938,70669.601563,69556.515625,741786
2010-11-02,70669.601563,70769.421875,68972.734375,69771.265625,68672.320313,1300886
2010-11-03,70170.523438,70869.234375,69172.367188,70270.343750,69163.546875,1071866
2010-11-04,71368.312500,74063.343750,70569.789063,73863.710938,72700.320313,2655143
2010-11-05,75061.500000,75261.132813,73464.445313,73763.898438,72602.070313,1370485
2010-11-08,74163.156250,74163.156250,72566.101563,73664.078125,72503.820313,698234
2010-11-09,73664.078125,73863.710938,71967.210938,72067.023438,70931.929688,895285
2010-11-10,72965.367188,74861.867188,72366.476563,74662.234375,73486.257813,1786156
2010-11-11,75061.500000,76159.476563,73963.523438,73963.523438,72798.554688,1929644
2010-11-12,75061.500000,75061.500000,71068.867188,71268.500000,70145.976563,1439570
2010-11-15,71867.390625,73564.265625,70869.234375,72765.734375,71619.632813,699732
2010-11-16,72366.476563,72665.921875,70969.054688,71368.312500,70244.218750,539694
2010-11-17,70469.968750,72166.843750,70469.968750,70869.234375,69753.007813,522623
2010-11-18,71168.679688,72166.843750,70469.968750,71767.578125,70637.203125,574530
2010-11-19,72166.843750,73963.523438,71867.390625,73863.710938,72700.320313,977261
2010-11-22,74163.156250,74762.054688,73065.187500,74063.343750,72896.804688,969638
2010-11-23,74662.234375,76059.656250,73464.445313,73464.445313,72307.335938,1045955
2010-11-24,71667.765625,72566.101563,71268.500000,71967.210938,70833.687500,1253601
2010-11-25,72865.554688,72865.554688,71168.679688,71368.312500,70244.218750,554786
2010-11-26,71567.945313,71767.578125,69571.632813,69871.078125,68770.562500,803811
2010-11-29,69771.265625,70569.789063,69471.812500,70170.523438,69065.296875,439821
2010-11-30,69970.890625,70869.234375,69871.078125,70869.234375,69753.007813,398221
2010-12-01,70270.343750,71468.132813,70170.523438,71268.500000,70145.976563,304656
2010-12-02,71667.765625,71967.210938,70769.421875,70869.234375,69753.007813,496165
2010-12-03,71667.765625,71767.578125,70070.710938,70270.343750,69163.546875,668841
2010-12-06,70769.421875,70869.234375,69671.445313,70070.710938,68967.054688,619928
2010-12-07,70469.968750,70569.789063,69771.265625,69970.890625,68868.812500,790425
2010-12-08,69970.890625,71667.765625,69970.890625,70070.710938,68967.054688,1056836
2010-12-09,70669.601563,71867.390625,70270.343750,71567.945313,70440.703125,1071879
2010-12-10,71667.765625,73165.000000,71268.500000,73165.000000,72012.609375,1120292
2010-12-13,73763.898438,73763.898438,72566.101563,72865.554688,71717.882813,624868
2010-12-14,72865.554688,72865.554688,71567.945313,71967.210938,70833.687500,778389
2010-12-15,71767.578125,72566.101563,70569.789063,71168.679688,70047.734375,990031
2010-12-16,70869.234375,71967.210938,70769.421875,70769.421875,69654.765625,534892
2010-12-17,71268.500000,71567.945313,70769.421875,70969.054688,69851.242188,586906
2010-12-20,69871.078125,70569.789063,69671.445313,70370.156250,69261.781250,705413
2010-12-21,70869.234375,72266.656250,70669.601563,72067.023438,70931.929688,956481
2010-12-22,71767.578125,72466.289063,71068.867188,71368.312500,70244.218750,538391
